Alternative Customer Number,Category,Customer Type,Salutation,First Name,Surname,Billing Address,Billing Address2,Billing Suburb,Billing State,Billing Postal (Zip) Code,Billing Country,Phone Number,Mobile Number,Fax Number,Email Address,Company,Business Name Type,Company Trading Name,ABN,ACN,Notes/Feedbacks,Is Home Address same as Billing Address?,Home Address,Home Address2,Home Suburb,Home State,Home Postal (Zip) Code,Home Country,Billing Email,Account Name,Authentication Type,Authentication Number,Date of Birth,Referee Name,Referee Contact Number,Referee Relationship to Tenant,Enable Internet Access?,Internet Password,Secondary Customer Name,Secondary Phone Number,Secondary Mobile Number,Secondary Fax Number,Secondary Email,Life Support Status,Purchase Order,Contract Start Date,Contract Term,Overdue Interest % (Base Rate) ,Overdue Interest % (Additional) ,Early Payment Discount,Early Payment Discount Rate,Payment Term Method ,Payment Term Number of Days ,Card First Name,Card Last Name,Card Type,Card No.,Card Start Date,Card Expiry Date
,R,Tenant,Mr,Annabelle,Wang,358 Koala Avenue, ,MELBOURNE,VIC,3000,Australia,0323811396,0355484313, ,AnnabelleWang@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Charlotte,Khan,399 Coastal Breeze Green, ,MELBOURNE,VIC,3001,Australia,0362774895,0396252694, ,CharlotteKhan@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Willow,Clarke,255 Sunny Side Close, ,EAST MELBOURNE,VIC,3002,Australia,0318545926,0321647696, ,WillowClarke@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Ruby,Nguyen,521 Wombat Crescent, ,WEST MELBOURNE,VIC,3003,Australia,0382861999,0384829546, ,RubyNguyen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Michael,Turner,264 Seaside Terrace, ,MELBOURNE,VIC,3004,Australia,0329533841,0368338953, ,MichaelTurner@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Toby,Kumar,292 Australian Dream Lane, ,WORLD TRADE CENTRE,VIC,3005,Australia,0379712914,0357478414, ,TobyKumar@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Emily,Hall,887 Surfside Way, ,SOUTH WHARF,VIC,3006,Australia,0317494675,0375718673, ,EmilyHall@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Emily,Chen,152 Coastal Drive Boulevard, ,SOUTHBANK,VIC,3006,Australia,0342922238,0312466614, ,EmilyChen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Mason,Kumar,719 Blue Mountains Court, ,DOCKLANDS,VIC,3008,Australia,0364542722,0344343862, ,MasonKumar@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Blake,Garcia,863 Gumtree Way, ,UNIVERSITY OF MELBOURNE,VIC,3010,Australia,0351366892,0339352397, ,BlakeGarcia@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Harper,Jones,898 Coral Coast Lane, ,FOOTSCRAY,VIC,3011,Australia,0397127697,0394533829, ,HarperJones@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Emily,Adams,552 Australian Dream Lane, ,SEDDON,VIC,3011,Australia,0359938868,0318773164, ,EmilyAdams@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Michael,Jones,444 Kangaroo Jump Court, ,SEDDON WEST,VIC,3011,Australia,0377964317,0353254388, ,MichaelJones@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Madison,Li,519 Whitsunday Avenue, ,BROOKLYN,VIC,3012,Australia,0342694325,0381982873, ,MadisonLi@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Charlie,Cox,947 Coral Coast Lane, ,KINGSVILLE,VIC,3012,Australia,0338925727,0395474641, ,CharlieCox@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Sophie,Wilson,278 Bushland Green, ,KINGSVILLE WEST,VIC,3012,Australia,0317729226,0366963971, ,SophieWilson@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,James,Lewis,324 Green Valley Avenue, ,MAIDSTONE,VIC,3012,Australia,0374859144,0311853367, ,JamesLewis@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Lucas,Chen,356 Australia Fair Grove, ,TOTTENHAM,VIC,3012,Australia,0391626971,0392478321, ,LucasChen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Oliver,Green,187 Australian Alps Way, ,WEST FOOTSCRAY,VIC,3012,Australia,0369885239,0351339891, ,OliverGreen@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,R,Tenant,Mr,Jordan,Wong,995 Kangaroo Crossing Boulevard, ,YARRAVILLE,VIC,3013,Australia,0322957647,0386889422, ,JordanWong@yopmail.com, , , , , , ,Yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
